Date,Open,High,Low,Close,Volume,Adj Close
2011-08-29 00:00:00,76.96,76.96,76.96,76.96,1000000,76.96
2011-08-30 00:00:00,76.75,76.75,76.75,76.75,1000000,76.75
2011-08-31 00:00:00,76.5,76.5,76.5,76.5,1000000,76.5
2011-09-01 00:00:00,76.81,76.81,76.81,76.81,1000000,76.81
2011-09-02 00:00:00,76.79,76.79,76.79,76.79,1000000,76.79
2011-09-06 00:00:00,77.48,77.48,77.48,77.48,1000000,77.48
2011-09-07 00:00:00,77.39,77.39,77.39,77.39,1000000,77.39
2011-09-08 00:00:00,77.43,77.43,77.43,77.43,1000000,77.43
2011-09-09 00:00:00,77.31,77.31,77.31,77.31,1000000,77.31
2011-09-12 00:00:00,77.15,77.15,77.15,77.15,1000000,77.15
2011-09-13 00:00:00,76.88,76.88,76.88,76.88,1000000,76.88
2011-09-14 00:00:00,76.71,76.71,76.71,76.71,1000000,76.71
2011-09-15 00:00:00,76.7,76.7,76.7,76.7,1000000,76.7
2011-09-16 00:00:00,76.89,76.89,76.89,76.89,1000000,76.89
2011-09-19 00:00:00,76.48,76.48,76.48,76.48,1000000,76.48
2011-09-20 00:00:00,76.52,76.52,76.52,76.52,1000000,76.52
2011-09-21 00:00:00,76.38,76.38,76.38,76.38,1000000,76.38
2011-09-22 00:00:00,76.31,76.31,76.31,76.31,1000000,76.31
2011-09-23 00:00:00,76.3,76.3,76.3,76.3,1000000,76.3
2011-09-26 00:00:00,76.35,76.35,76.35,76.35,1000000,76.35
2011-09-27 00:00:00,76.6,76.6,76.6,76.6,1000000,76.6
2011-09-28 00:00:00,76.51,76.51,76.51,76.51,1000000,76.51
2011-09-29 00:00:00,76.68,76.68,76.68,76.68,1000000,76.68
2011-09-30 00:00:00,77.04,77.04,77.04,77.04,1000000,77.04
2011-10-03 00:00:00,76.66,76.66,76.66,76.66,1000000,76.66
2011-10-04 00:00:00,76.86,76.86,76.86,76.86,1000000,76.86
2011-10-05 00:00:00,76.86,76.86,76.86,76.86,1000000,76.86
2011-10-06 00:00:00,76.64,76.64,76.64,76.64,1000000,76.64
2011-10-07 00:00:00,76.77,76.77,76.77,76.77,1000000,76.77
2011-10-11 00:00:00,76.66,76.66,76.66,76.66,1000000,76.66
2011-10-12 00:00:00,77.3,77.3,77.3,77.3,1000000,77.3
2011-10-13 00:00:00,76.88,76.88,76.88,76.88,1000000,76.88
2011-10-14 00:00:00,77.36,77.36,77.36,77.36,1000000,77.36
2011-10-17 00:00:00,76.8,76.8,76.8,76.8,1000000,76.8
2011-10-18 00:00:00,76.75,76.75,76.75,76.75,1000000,76.75
2011-10-19 00:00:00,76.79,76.79,76.79,76.79,1000000,76.79
